500

ITN.           PE                KE                  TE                    TEMP
[81.]     [145.92937045]   [26888.63977723]   [27034.56914768]   [17925.75985149]
[82.]     [146.44721974]   [26729.63412955]   [26876.08134929]   [17819.75608637]
[83.]     [145.32427986]   [40035.60864682]   [40180.93292668]   [26690.40576455]
[84.]     [142.63578015]   [53489.6640567]   [53632.29983686]   [35659.7760378]
[85.]     [140.83369033]   [66844.63107084]   [66985.46476117]   [44563.08738056]
[86.]     [141.13238515]   [66986.62712766]   [67127.7595128]   [44657.75141844]
[87.]     [143.38490932]   [26904.06265512]   [27047.44756444]   [17936.04177008]
[88.]     [146.35133766]   [40298.52504655]   [40444.87638421]   [26865.68336437]
[89.]     [147.84498502]   [66896.42888207]   [67044.27386709]   [44597.61925471]
[90.]     [147.00162992]   [26719.05403509]   [26866.05566501]   [17812.70269006]
[91.]     [144.70333629]   [26970.51772546]   [27115.22106175]   [17980.34515031]
[92.]     [142.021697]   [53466.08852466]   [53608.11022166]   [35644.05901644]
[93.]     [140.36278578]   [26632.71151145]   [26773.07429724]   [17755.14100763]
[94.]     [139.84502848]   [168.6759941]   [308.52102258]   [112.45066273]
[95.]     [139.78564587]   [53538.36656637]   [53678.15221224]   [35692.24437758]
[96.]     [139.14622978]   [66918.18227776]   [67057.32850755]   [44612.12151851]
[97.]     [137.15333113]   [40266.31049394]   [40403.46382507]   [26844.20699596]
[98.]     [134.84128617]   [40284.97394228]   [40419.81522846]   [26856.64929486]
[99.]     [133.93660139]   [13486.7380861]   [13620.67468749]   [8991.15872407]
[100.]     [134.63836393]   [40362.35205307]   [40496.990417]   [26908.23470205]
[101.]     [135.36621002]   [53691.52193903]   [53826.88814906]   [35794.34795936]
[102.]     [134.5946452]   [13505.49037988]   [13640.08502508]   [9003.66025325]
[103.]     [132.23436014]   [13539.79482982]   [13672.02918996]   [9026.52988655]
[104.]     [129.31928442]   [40340.23784913]   [40469.55713356]   [26893.49189942]
[105.]     [127.08716265]   [40332.02910138]   [40459.11626403]   [26888.01940092]
[106.]     [126.24467268]   [26980.96194442]   [27107.2066171]   [17987.30796295]
[107.]     [126.96743304]   [40272.7432819]   [40399.71071495]   [26848.49552127]
[108.]     [129.02916598]   [40220.26881493]   [40349.29798091]   [26813.51254329]
[109.]     [130.7610601]   [40299.19559319]   [40429.95665329]   [26866.13039546]
[110.]     [130.85549869]   [67014.61644809]   [67145.47194678]   [44676.41096539]
[111.]     [129.74073578]   [80289.17622017]   [80418.91695595]   [53526.11748011]
[112.]     [128.18023312]   [93628.89751598]   [93757.0777491]   [62419.26501065]
[113.]     [126.79687634]   [106990.70064709]   [107117.49752343]   [71327.13376473]
[114.]     [126.13393461]   [53643.71399133]   [53769.84792594]   [35762.47599422]
[115.]     [126.35374332]   [40437.6473921]   [40564.00113542]   [26958.43159474]
[116.]     [127.3213158]   [53700.67952061]   [53828.0008364]   [35800.45301374]
[117.]     [128.48804473]   [26766.49416962]   [26894.98221435]   [17844.32944641]
[118.]     [129.12609362]   [26803.33901981]   [26932.46511343]   [17868.89267988]
[119.]     [129.01753926]   [40317.96054028]   [40446.97807954]   [26878.64036019]
[120.]     [128.72693588]   [26953.61715582]   [27082.34409171]   [17969.07810388]
[121.]     [129.61958463]   [178.89364289]   [308.51322752]   [119.26242859]
[122.]     [131.4344019]   [13524.77701154]   [13656.21141344]   [9016.5180077]
[123.]     [133.09199444]   [26857.51717131]   [26990.60916574]   [17905.01144754]
[124.]     [134.03684087]   [13516.63819421]   [13650.67503508]   [9011.09212948]
[125.]     [134.05687753]   [13494.033705]   [13628.09058253]   [8996.02247]
[126.]     [133.47626884]   [53490.30155583]   [53623.77782468]   [35660.20103722]
[127.]     [133.7925692]   [80140.45690455]   [80274.24947374]   [53426.9712697]
[128.]     [134.40686584]   [93398.59326029]   [93533.00012613]   [62265.72884019]
[129.]     [134.67947212]   [120440.81397694]   [120575.49344905]   [80293.87598463]
[130.]     [134.25557925]   [67241.05237009]   [67375.30794934]   [44827.36824673]
[131.]     [133.11679894]   [40061.91987739]   [40195.03667633]   [26707.94658493]
[132.]     [132.41361924]   [53504.83720798]   [53637.25082722]   [35669.89147199]
[133.]     [132.00123489]   [13607.59929642]   [13739.60053131]   [9071.73286428]
[134.]     [131.81657767]   [13559.09807858]   [13690.91465625]   [9039.39871905]
[135.]     [133.02778975]   [40177.38204156]   [40310.40983131]   [26784.92136104]
[136.]     [135.06933471]   [53479.84121516]   [53614.91054987]   [35653.22747678]
[137.]     [135.99186438]   [40096.02970045]   [40232.02156483]   [26730.68646697]
[138.]     [135.58712658]   [39916.98638358]   [40052.57351016]   [26611.32425572]
[139.]     [134.9056072]   [53363.33041644]   [53498.23602363]   [35575.55361096]
[140.]     [134.6226548]   [40082.96019891]   [40217.58285371]   [26721.97346594]
[141.]     [135.00779352]   [13385.43143852]   [13520.43923204]   [8923.62095901]
[142.]     [136.56309206]   [13535.3119445]   [13671.87503656]   [9023.54129633]
[143.]     [138.98203565]   [13515.91785783]   [13654.89989348]   [9010.61190522]
[144.]     [141.16678016]   [13549.0530743]   [13690.21985446]   [9032.70204953]
[145.]     [142.28418543]   [40272.09235657]   [40414.37654199]   [26848.06157105]
[146.]     [142.10689792]   [40212.7849377]   [40354.89183562]   [26808.5232918]
[147.]     [141.04343463]   [26922.26305418]   [27063.30648881]   [17948.17536945]
[148.]     [139.65116484]   [40289.32964145]   [40428.98080629]   [26859.5530943]
[149.]     [138.22730776]   [40248.55327122]   [40386.78057899]   [26832.36884748]
[150.]     [137.05007979]   [13570.34916508]   [13707.39924487]   [9046.89944339]
[151.]     [135.88060084]   [172.70334044]   [308.58394128]   [115.1355603]
[152.]     [134.64377533]   [173.85832827]   [308.5021036]   [115.90555218]
[153.]     [134.40587077]   [174.08725319]   [308.49312397]   [116.0581688]
[154.]     [135.37229412]   [26864.95821586]   [27000.33050998]   [17909.97214391]
[155.]     [136.8094073]   [80135.6218]   [80272.43120729]   [53423.74786666]
[156.]     [138.55019125]   [53442.86784243]   [53581.41803368]   [35628.57856162]
[157.]     [140.41015473]   [168.20631756]   [308.61647229]   [112.13754504]
[158.]     [141.38302188]   [13482.11346943]   [13623.49649131]   [8988.07564629]
[159.]     [141.12142989]   [53457.00091767]   [53598.12234756]   [35638.00061178]
[160.]     [140.93383174]   [40182.51806975]   [40323.4519015]   [26788.34537984]
[161.]     [141.28375591]   [53676.03110225]   [53817.31485816]   [35784.02073483]
[162.]     [141.46544666]   [53661.70982029]   [53803.17526695]   [35774.47321353]
[163.]     [141.0864162]   [167.51273185]   [308.59914805]   [111.67515457]
