500

ITN.           PE                KE                  TE                    TEMP
[351.]     [135.97378141]   [80282.22500134]   [80418.19878275]   [53521.48333422]
[352.]     [134.74228162]   [66892.45095252]   [67027.19323414]   [44594.96730168]
[353.]     [134.53655951]   [53675.41677571]   [53809.95333522]   [35783.61118381]
[354.]     [135.65545557]   [40145.86998063]   [40281.5254362]   [26763.91332042]
[355.]     [137.32346264]   [40108.4156591]   [40245.73912174]   [26738.94377273]
[356.]     [138.57164707]   [53525.30082065]   [53663.87246772]   [35683.53388044]
[357.]     [139.18244201]   [53667.63714185]   [53806.81958386]   [35778.42476123]
[358.]     [139.39564922]   [66887.34246085]   [67026.73811007]   [44591.56164057]
[359.]     [139.51242574]   [66707.27102563]   [66846.78345137]   [44471.51401709]
[360.]     [139.32615413]   [40146.89451823]   [40286.22067236]   [26764.59634549]
[361.]     [138.76911921]   [53771.74447917]   [53910.51359838]   [35847.82965278]
[362.]     [138.20759346]   [93801.13315415]   [93939.3407476]   [62534.08876943]
[363.]     [138.01250764]   [80248.53832586]   [80386.5508335]   [53499.02555057]
[364.]     [138.57609812]   [40137.17208913]   [40275.74818725]   [26758.11472609]
[365.]     [139.52942459]   [40228.67169232]   [40368.20111692]   [26819.11446155]
[366.]     [139.82454617]   [80346.54383041]   [80486.36837658]   [53564.3625536]
[367.]     [139.3461468]   [93676.4390593]   [93815.7852061]   [62450.95937287]
[368.]     [138.569965]   [93555.90310042]   [93694.47306542]   [62370.60206695]
[369.]     [137.02673401]   [80337.87434299]   [80474.90107699]   [53558.58289533]
[370.]     [134.79949947]   [27015.42588213]   [27150.2253816]   [18010.28392142]
[371.]     [132.58847355]   [26866.64854774]   [26999.23702129]   [17911.09903183]
[372.]     [130.82392417]   [66851.05191332]   [66981.87583749]   [44567.36794221]
[373.]     [129.86320739]   [53582.77878416]   [53712.64199156]   [35721.85252278]
[374.]     [129.96548232]   [26924.75394329]   [27054.71942561]   [17949.83596219]
[375.]     [130.82651145]   [40259.66266492]   [40390.48917636]   [26839.77510994]
[376.]     [132.07688238]   [26914.26767621]   [27046.34455859]   [17942.84511747]
[377.]     [133.80233712]   [13367.32490543]   [13501.12724254]   [8911.54993695]
[378.]     [135.99077436]   [40202.51154265]   [40338.50231701]   [26801.67436176]
[379.]     [138.22648027]   [53731.23404255]   [53869.46052283]   [35820.82269504]
[380.]     [139.57768131]   [40274.16682347]   [40413.74450477]   [26849.44454898]
[381.]     [138.84472081]   [40385.39166984]   [40524.23639065]   [26923.59444656]
[382.]     [136.33375906]   [40340.51417865]   [40476.84793771]   [26893.6761191]
[383.]     [134.18771742]   [13517.28737451]   [13651.47509194]   [9011.52491634]
[384.]     [133.87381]   [53577.06970348]   [53710.94351348]   [35718.04646899]
[385.]     [134.86246627]   [66976.32848878]   [67111.19095506]   [44650.88565919]
[386.]     [135.70830062]   [13580.18938008]   [13715.8976807]   [9053.45958672]
[387.]     [135.7643521]   [26881.4855313]   [27017.24988339]   [17920.9903542]
[388.]     [135.22820406]   [40162.08095551]   [40297.30915957]   [26774.72063701]
[389.]     [134.45905097]   [53421.56574749]   [53556.02479845]   [35614.37716499]
[390.]     [133.70960134]   [53454.86235663]   [53588.57195796]   [35636.57490442]
[391.]     [133.44060003]   [53600.26212318]   [53733.70272321]   [35733.50808212]
[392.]     [134.00361168]   [53621.64587759]   [53755.64948928]   [35747.7639184]
[393.]     [134.91834831]   [53486.09409507]   [53621.01244338]   [35657.39606338]
[394.]     [135.72882515]   [40162.73297747]   [40298.46180262]   [26775.15531831]
[395.]     [136.54600114]   [13551.16753065]   [13687.71353179]   [9034.1116871]
[396.]     [137.29540057]   [40033.29809728]   [40170.59349785]   [26688.86539819]
[397.]     [137.70557728]   [53322.95014533]   [53460.65572261]   [35548.63343022]
[398.]     [137.57806052]   [26859.57356811]   [26997.15162864]   [17906.38237874]
[399.]     [136.31773535]   [40313.63270632]   [40449.95044167]   [26875.75513755]
[400.]     [133.50956132]   [53611.73778119]   [53745.24734251]   [35741.15852079]
[401.]     [130.14249904]   [26898.65991356]   [27028.8024126]   [17932.43994237]
[402.]     [127.76939165]   [13613.50344413]   [13741.27283578]   [9075.66896275]
[403.]     [127.11100507]   [181.4021845]   [308.51318957]   [120.93478966]
[404.]     [128.14670107]   [13577.56883618]   [13705.71553725]   [9051.71255745]
[405.]     [130.46130064]   [26845.36869705]   [26975.82999769]   [17896.9124647]
[406.]     [133.30147894]   [53528.11519695]   [53661.41667589]   [35685.4101313]
[407.]     [135.94930029]   [66854.80001801]   [66990.7493183]   [44569.86667867]
[408.]     [137.77429076]   [66922.79249291]   [67060.56678366]   [44615.19499527]
[409.]     [138.06348129]   [66945.77087736]   [67083.83435865]   [44630.51391824]
[410.]     [136.54903456]   [40202.76242377]   [40339.31145833]   [26801.84161585]
[411.]     [134.43947127]   [26945.07240546]   [27079.51187673]   [17963.38160364]
[412.]     [132.89777143]   [26913.0444562]   [27045.94222763]   [17942.02963747]
[413.]     [132.4190066]   [40314.4685137]   [40446.8875203]   [26876.31234247]
[414.]     [132.81514893]   [67131.387486]   [67264.20263493]   [44754.258324]
[415.]     [133.30929523]   [53613.12322156]   [53746.4325168]   [35742.08214771]
[416.]     [133.3346991]   [26780.57841435]   [26913.91311345]   [17853.7189429]
[417.]     [132.80632932]   [53492.62371084]   [53625.43004017]   [35661.74914056]
[418.]     [132.25846351]   [53593.573129]   [53725.83159251]   [35729.04875267]
[419.]     [132.51502304]   [93435.1714372]   [93567.68646025]   [62290.11429147]
[420.]     [133.94358888]   [106663.28013889]   [106797.22372777]   [71108.85342593]
[421.]     [136.31778455]   [53337.70155473]   [53474.01933928]   [35558.46770316]
[422.]     [139.18148323]   [26698.45471931]   [26837.63620255]   [17798.96981288]
[423.]     [141.57006821]   [13551.02188726]   [13692.59195547]   [9034.01459151]
[424.]     [141.51350609]   [40139.04221007]   [40280.55571617]   [26759.36147338]
[425.]     [138.57052682]   [66893.6275913]   [67032.19811812]   [44595.75172753]
[426.]     [135.48926546]   [53713.87199147]   [53849.36125693]   [35809.24799431]
[427.]     [134.73748441]   [66921.56907546]   [67056.30655987]   [44614.37938364]
[428.]     [136.08041939]   [93558.76713073]   [93694.84755012]   [62372.51142049]
[429.]     [137.37803877]   [53613.7494409]   [53751.12747967]   [35742.49962727]
[430.]     [137.6457001]   [53591.74973737]   [53729.39543747]   [35727.83315825]
[431.]     [137.54265608]   [53618.5466919]   [53756.08934798]   [35745.6977946]
[432.]     [137.134159]   [40241.60493153]   [40378.73909053]   [26827.73662102]
[433.]     [136.17956826]   [40246.15833082]   [40382.33789908]   [26830.77222055]
[434.]     [134.9973801]   [40242.35903668]   [40377.35641678]   [26828.23935778]
[435.]     [134.10751975]   [40190.07527034]   [40324.18279009]   [26793.38351356]
[436.]     [134.41360384]   [40278.08817603]   [40412.50177987]   [26852.05878402]
[437.]     [135.83018103]   [66830.77444311]   [66966.60462414]   [44553.84962874]
[438.]     [136.68510616]   [93479.70407671]   [93616.38918287]   [62319.80271781]
[439.]     [136.50487677]   [80203.7178252]   [80340.22270197]   [53469.1452168]
[440.]     [136.46236989]   [40229.81551314]   [40366.27788303]   [26819.87700876]
[441.]     [136.93413836]   [40330.57826827]   [40467.51240664]   [26887.05217885]
[442.]     [137.55534138]   [26942.15183136]   [27079.70717274]   [17961.43455424]
[443.]     [137.95273655]   [13477.884226]   [13615.83696255]   [8985.25615067]
[444.]     [138.36636553]   [13467.65223849]   [13606.01860403]   [8978.43482566]
[445.]     [139.1365114]   [13574.24699702]   [13713.38350842]   [9049.49799801]
[446.]     [139.85151047]   [53508.42669693]   [53648.27820741]   [35672.28446462]
[447.]     [139.82130191]   [40091.40730534]   [40231.22860725]   [26727.60487022]
[448.]     [139.20117798]   [40244.45109343]   [40383.65227141]   [26829.63406229]
[449.]     [138.22492156]   [66864.00123628]   [67002.22615784]   [44576.00082419]
[450.]     [136.19006694]   [80062.85556424]   [80199.04563118]   [53375.23704283]
[451.]     [132.86836536]   [53437.10726237]   [53569.97562774]   [35624.73817492]
[452.]     [129.77434756]   [13575.21620007]   [13704.99054763]   [9050.14413338]
[453.]     [128.20748449]   [26989.41887321]   [27117.6263577]   [17992.94591547]
[454.]     [128.417517]   [40349.38458637]   [40477.80210336]   [26899.58972424]
[455.]     [129.97142013]   [53751.7891178]   [53881.76053793]   [35834.52607854]
[456.]     [132.38834006]   [53676.75326931]   [53809.14160937]   [35784.50217954]
[457.]     [135.37069822]   [66954.36588728]   [67089.7365855]   [44636.24392485]
[458.]     [138.27037572]   [53622.15833145]   [53760.42870717]   [35748.1055543]
[459.]     [140.03227091]   [53585.23540414]   [53725.26767504]   [35723.49026942]
[460.]     [140.24128664]   [80273.89132189]   [80414.13260853]   [53515.92754793]
[461.]     [139.50876869]   [80162.98665851]   [80302.4954272]   [53441.99110568]
[462.]     [138.5965425]   [53534.37693724]   [53672.97347974]   [35689.58462483]
[463.]     [137.84160166]   [40065.770004]   [40203.61160567]   [26710.513336]
[464.]     [137.45850854]   [66784.49024369]   [66921.94875223]   [44522.99349579]
[465.]     [137.52957115]   [53575.2283692]   [53712.75794035]   [35716.8189128]
[466.]     [137.1832167]   [53464.07565505]   [53601.25887176]   [35642.71710337]
[467.]     [136.19284625]   [53329.41834587]   [53465.61119212]   [35552.94556391]
[468.]     [135.71279449]   [53376.27723387]   [53511.99002835]   [35584.18482258]
[469.]     [136.5054572]   [53504.65424115]   [53641.15969835]   [35669.7694941]
[470.]     [138.09652867]   [26974.51331503]   [27112.6098437]   [17983.00887669]
[471.]     [139.61453757]   [53606.25918299]   [53745.87372056]   [35737.50612199]
[472.]     [141.13282313]   [40189.22963666]   [40330.36245979]   [26792.81975778]
[473.]     [142.39039359]   [13461.69797555]   [13604.08836914]   [8974.46531703]
[474.]     [142.32122592]   [40073.06053659]   [40215.38176251]   [26715.37369106]
[475.]     [140.52314779]   [80059.52321224]   [80200.04636002]   [53373.01547482]
[476.]     [137.6108158]   [66792.74189236]   [66930.35270816]   [44528.49459491]
[477.]     [134.72661878]   [13555.72644254]   [13690.45306132]   [9037.15096169]
[478.]     [132.84807386]   [13579.28823333]   [13712.1363072]   [9052.85882222]
[479.]     [131.91928806]   [66923.26722472]   [67055.18651278]   [44615.51148314]
[480.]     [131.52975641]   [93513.13529327]   [93644.66504969]   [62342.09019552]
[481.]     [131.44398234]   [66963.99126023]   [67095.43524257]   [44642.66084015]
[482.]     [132.11196572]   [40280.89796718]   [40413.0099329]   [26853.93197812]
[483.]     [133.58896945]   [93547.84146919]   [93681.43043863]   [62365.22764612]
[484.]     [134.85117536]   [93592.58550153]   [93727.43667689]   [62395.05700102]
[485.]     [135.07480971]   [40262.04450922]   [40397.11931894]   [26841.36300615]
[486.]     [133.81347307]   [53596.57686474]   [53730.3903378]   [35731.05124316]
[487.]     [131.71507453]   [53548.00399835]   [53679.71907287]   [35698.66933223]
[488.]     [130.77235074]   [26865.72576866]   [26996.49811939]   [17910.48384577]
[489.]     [131.96735313]   [26958.53946788]   [27090.50682101]   [17972.35964525]
[490.]     [134.82547619]   [40355.36945346]   [40490.19492965]   [26903.57963564]
[491.]     [138.66703412]   [13567.64866583]   [13706.31569996]   [9045.09911055]
[492.]     [142.30111325]   [26905.95732215]   [27048.25843541]   [17937.30488144]
[493.]     [144.09293339]   [40206.36537303]   [40350.45830643]   [26804.24358202]
[494.]     [143.82205525]   [53550.98596806]   [53694.80802331]   [35700.65731204]
[495.]     [142.79831028]   [66979.68567512]   [67122.4839854]   [44653.12378342]
[496.]     [142.11280948]   [40248.31890491]   [40390.43171439]   [26832.21260327]
[497.]     [142.17339421]   [26868.28259722]   [27010.45599143]   [17912.18839815]
[498.]     [142.45205523]   [26873.60917504]   [27016.06123027]   [17915.73945003]
[499.]     [141.70807511]   [13524.525807]   [13666.2338821]   [9016.350538]
